# Athena++ data at time=1.200000e+13  cycle=804121962  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0258  5.81627e+18  2.78787e-22  4.53820e-08  2.49277e+07  1.54377e-01  0.00000e+00
0259  5.83468e+18  2.73298e-22  4.48215e-08  2.50540e+07  1.55189e-01  0.00000e+00
0260  5.85310e+18  2.68014e-22  4.42759e-08  2.51779e+07  1.55997e-01  0.00000e+00
0261  5.87152e+18  2.62922e-22  4.37448e-08  2.52995e+07  1.56801e-01  0.00000e+00
0262  5.88993e+18  2.58012e-22  4.32274e-08  2.54190e+07  1.57599e-01  0.00000e+00
0263  5.90835e+18  2.53275e-22  4.27234e-08  2.55363e+07  1.58393e-01  0.00000e+00
0264  5.92676e+18  2.48703e-22  4.22323e-08  2.56514e+07  1.59182e-01  0.00000e+00
0265  5.94518e+18  2.44290e-22  4.17540e-08  2.57644e+07  1.59965e-01  0.00000e+00
0266  5.96359e+18  2.40030e-22  4.12881e-08  2.58752e+07  1.60742e-01  0.00000e+00
0267  5.98201e+18  2.35917e-22  4.08344e-08  2.59837e+07  1.61513e-01  0.00000e+00
0268  6.00043e+18  2.31944e-22  4.03926e-08  2.60902e+07  1.62278e-01  0.00000e+00
0269  6.01884e+18  2.28105e-22  3.99622e-08  2.61944e+07  1.63035e-01  0.00000e+00
0270  6.03726e+18  2.24397e-22  3.95430e-08  2.62965e+07  1.63786e-01  0.00000e+00
0271  6.05567e+18  2.20812e-22  3.91346e-08  2.63964e+07  1.64528e-01  0.00000e+00
0272  6.07409e+18  2.17348e-22  3.87367e-08  2.64943e+07  1.65262e-01  0.00000e+00
0273  6.09250e+18  2.13998e-22  3.83489e-08  2.65901e+07  1.65986e-01  0.00000e+00
0274  6.11092e+18  2.10759e-22  3.79709e-08  2.66838e+07  1.66702e-01  0.00000e+00
0275  6.12933e+18  2.07628e-22  3.76024e-08  2.67756e+07  1.67407e-01  0.00000e+00
